,geo_id,Unnamed: 0,demographics.P_ENGLISH,demographics.P_NON_ENGLISH,demographics.P_AGE_LT5,demographics.P_AGE_LT18,demographics.P_AGE_GT17,demographics.P_AGE_GT64,demographics.P_HLI_OTHER_LI,demographics.P_LOWINC,demographics.PCT_MINORITY,demographics.P_EDU_LTHS,demographics.P_LIMITED_ENG_HH,demographics.P_EMP_STAT_UNEMPLOYED,demographics.P_DISABILITY,demographics.P_MALES,demographics.P_FEMALES,demographics.LIFEEXP,demographics.PER_CAP_INC,demographics.HSHOLDS,demographics.P_OWN_OCCUPIED,main.RAW_D_PEOPCOLOR,main.RAW_D_INCOME,main.RAW_D_UNDER5,main.RAW_D_OVER64,main.RAW_D_UNEMPLOYED,main.RAW_D_LIFEEXP,main.RAW_E_DIESEL,main.RAW_E_CANCER,main.RAW_E_TRAFFIC,main.RAW_E_O3,main.RAW_E_PM25,main.RAW_E_RSEI_AIR,main.stateAbbr,main.stateName,main.totalPop,main.NUM_AIRPOLL,main.NUM_BROWNFIELD,main.NUM_HOSPITAL,main.statLayerCount,main.statLayerZeroPopCount,main.weightLayerCount,main.distance,main.unit,main.areatype,main.statlevel,main.placename,extras.RAW_HI_LIFEEXPPCT,extras.RAW_HI_ASTHMA,extras.RAW_HI_DISABILITYPCT,extras.RAW_CG_NOHINCPCT,extras.RAW_CI_FLOOD,extras.RAW_CI_FLOOD30,extras.RAW_CI_FIRE,extras.RAW_CI_FIRE30
0,17031270500.0,0,93,7,10,31,69,18,0,71,99,34,0.0,22,29,40,60,71,13981,591,15,99%,71%,10%,18%,22%,27%,0.598,30.0,2200.0,65.6,10.1,12000.0,IL,ILLINOIS,1302.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",27%,14.6,25.8%,2%,18%,18%,0%,0%
1,17031580800.0,1,3,97,2,22,78,8,0,39,99,42,45.0,5,7,55,45,77,17603,537,60,99%,39%,2%,8%,5%,21%,0.544,30.0,290.0,65.5,10.2,12000.0,IL,ILLINOIS,2110.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",21%,9.3,6.5%,22%,43%,48%,0%,0%
2,17031200200.0,2,25,75,3,17,83,17,0,28,87,26,27.0,3,12,52,48,78,30605,1633,59,87%,28%,3%,17%,3%,19%,0.618,30.0,110.0,65.9,9.94,9800.0,IL,ILLINOIS,4248.0,19.0,0.0,0.0,4.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",19%,9.2,11.9%,19%,7%,7%,0%,0%
3,17031815600.0,3,71,29,2,21,79,16,0,29,24,7,5.0,3,9,54,46,77,34389,2177,75,24%,29%,2%,16%,3%,21%,0.453,30.0,230.0,65.4,10.3,7600.0,IL,ILLINOIS,5546.0,8.0,0.0,1.0,5.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"North Riverside, IL",21%,8.6,8.5%,10%,2%,2%,0%,0%
4,17031801902.0,4,86,14,8,33,67,14,0,10,20,3,2.0,0,4,54,46,86,82100,1241,95,20%,10%,8%,14%,0%,12%,0.408,20.0,85.0,66.4,9.21,3600.0,IL,ILLINOIS,3904.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Glenview, IL",12%,8.0,3.5%,2%,5%,6%,0%,0%
5,17031802403.0,5,67,33,6,10,90,37,0,13,15,2,10.0,7,12,40,60,84,50464,848,85,15%,13%,6%,37%,7%,14%,0.353,20.0,130.0,65.7,9.34,3300.0,IL,ILLINOIS,1422.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Wheeling, IL",14%,8.1,11%,8%,7%,7%,0%,0%
6,17031810501.0,6,58,42,4,18,82,27,0,20,14,10,8.0,7,10,47,53,79,47422,2058,90,14%,20%,4%,27%,7%,19%,0.471,30.0,130.0,65.5,9.99,12000.0,IL,ILLINOIS,5163.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Cook County, IL",19%,8.7,10.3%,6%,4%,5%,0%,0%
7,17031805401.0,7,46,54,8,18,82,17,23,13,32,9,11.0,5,10,49,51,82,41777,1627,81,32%,13%,8%,17%,5%,16%,0.446,30.0,280.0,65.9,9.62,5400.0,IL,ILLINOIS,4784.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Cook County, IL",16%,8.6,8.9%,7%,4%,4%,0%,0%
8,17031660301.0,8,37,63,12,33,67,19,0,74,98,22,34.0,27,5,45,55,0,13110,583,24,98%,74%,12%,19%,27%,,0.512,30.0,200.0,65.5,10.3,14000.0,IL,ILLINOIS,1572.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",,11.1,4.5%,4%,1%,1%,0%,0%
9,17031813100.0,9,81,19,7,25,75,18,0,10,55,5,0.0,5,15,47,53,80,51061,1801,67,55%,10%,7%,18%,5%,18%,0.572,30.0,1400.0,65.5,10.2,8700.0,IL,ILLINOIS,4903.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Oak Park, IL",18%,9.1,14.1%,2%,6%,6%,0%,0%
