statefp,countyfp,tractce,geo_id,name,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,state_name,area_id,city,state,city_survey,category,grade,label,residential,commercial,industrial,fill,geometry
22,071,980100,22071980100,9801,Census Tract 9801,G5020,S,31183156,11853446,+30.0073168,-089.9136473,LA,11199,New Orleans,LA,True,Industrial,,Industrial,False,False,True,#000000,"POLYGON ((-90.021611 29.980964, -90.02160099999999 29.980994, -90.02157799999999 29.981061, -90.02155459619766 29.98116859670164, -90.02135 29.98112, -90.0216527092511 29.98084756167401, -90.021611 29.980964))"
22,071,004600,22071004600,46,Census Tract 46,G5020,S,702695,27900,+29.9804859,-090.0948782,LA,3022,New Orleans,LA,True,Still Desirable,B,B9,True,False,False,#7cb5bd,"POLYGON ((-90.096784 29.983562, -90.095976 29.983494999999998, -90.094774 29.983370999999998, -90.093845 29.98329, -90.092377 29.983161, -90.09165999999999 29.983030999999997, -90.091549 29.983147, -90.09152714678432 29.983164589173594, -90.09126 29.98314, -90.09096 29.98286, -90.09063 29.98228, -90.09044 29.982, -90.09016 29.98178, -90.08962 29.9814, -90.0889 29.98098, -90.08849 29.98072, -90.0881 29.98041, -90.08788 29.98019, -90.08785 29.97998, -90.08783 29.97976, -90.08792 29.97932, -90.08819 29.97892, -90.0888 29.97838, -90.08902 29.97813, -90.08913 29.9779, -90.09750800364198 29.98361940998042, -90.096784 29.983562))"
22,071,004600,22071004600,46,Census Tract 46,G5020,S,702695,27900,+29.9804859,-090.0948782,LA,3021,New Orleans,LA,True,Definitely Declining,C,C13,True,False,False,#ffff00,"POLYGON ((-90.103893 29.984095, -90.103839 29.984109, -90.102734 29.984121, -90.102192 29.984071999999998, -90.100872 29.983939, -90.09951799999999 29.983804, -90.09882999999999 29.983746999999997, -90.098146 29.98367, -90.09750800364198 29.98361940998042, -90.08913 29.9779, -90.08962 29.97741, -90.08991 29.97711, -90.09011 29.97684, -90.09024 29.97643, -90.09039131668331 29.97591930619381, -90.090409 29.975931, -90.09081499999999 29.976218, -90.09088899999999 29.976308, -90.090948 29.976381999999997, -90.091146 29.976612, -90.091201 29.976674, -90.09127099999999 29.976734999999998, -90.09143499999999 29.976855999999998, -90.091464 29.976875, -90.091726 29.977051999999997, -90.092164 29.977348, -90.092219 29.977384999999998, -90.09297099999999 29.977888, -90.0937 29.978365, -90.09377599999999 29.978417, -90.09433 29.978783999999997, -90.09452499999999 29.978922999999998, -90.09525 29.979418, -90.09539699999999 29.979518, -90.09567299999999 29.979263999999997, -90.09553199999999 29.979170999999997, -90.095888 29.978837, -90.096673 29.978102999999997, -90.096802 29.978196999999998, -90.09787399999999 29.978911, -90.09879699999999 29.979539, -90.099755 29.980157, -90.100681 29.980783, -90.101573 29.981403, -90.101951 29.981662999999998, -90.10248899999999 29.982018, -90.103422 29.982616, -90.10437 29.983262, -90.10501099999999 29.983735, -90.105086 29.983791, -90.103893 29.984095))"
22,071,004600,22071004600,46,Census Tract 46,G5020,S,702695,27900,+29.9804859,-090.0948782,LA,3058,New Orleans,LA,True,Definitely Declining,C,C14,True,False,False,#ffff00,"POLYGON ((-90.08942499999999 29.977477999999998, -90.08969499999999 29.97723, -90.090071 29.976761, -90.090194 29.976519999999997, -90.090255 29.976267999999997, -90.090311 29.976011, -90.090347 29.97589, -90.09039131668331 29.97591930619381, -90.09024 29.97643, -90.09011 29.97684, -90.08991 29.97711, -90.08962 29.97741, -90.08923979572761 29.977628747663566, -90.08942499999999 29.977477999999998))"
22,071,014000,22071014000,140,Census Tract 140,G5020,S,565101,0,+29.9446690,-090.0831021,LA,3043,New Orleans,LA,True,Hazardous,D,D33,True,False,False,#d9838d,"POLYGON ((-90.078715 29.941886999999998, -90.07918599999999 29.941253, -90.07923517075484 29.941185333823597, -90.07986 29.94151, -90.07927749768486 29.94221985099942, -90.078715 29.941886999999998))"
22,071,014000,22071014000,140,Census Tract 140,G5020,S,565101,0,+29.9446690,-090.0831021,LA,3045,New Orleans,LA,True,Hazardous,D,D34,True,False,False,#d9838d,"POLYGON ((-90.088359 29.946189, -90.08824399999999 29.946358, -90.08819299999999 29.946429, -90.08773599999999 29.946980999999997, -90.08726999999999 29.947698, -90.086631 29.94849, -90.086068 29.949286999999998, -90.08605007165333 29.949310506054506, -90.08229041965761 29.94723077318747, -90.082061 29.947056999999997, -90.081351 29.946627, -90.080387 29.946029, -90.079843 29.945719, -90.079402 29.945441, -90.07898 29.945214999999997, -90.078188 29.944775999999997, -90.077996 29.944671999999997, -90.07786 29.944599, -90.07799299999999 29.944429, -90.078403 29.943913, -90.078615 29.943607999999998, -90.079033 29.943061999999998, -90.079538 29.942373999999997, -90.07927749768486 29.94221985099942, -90.07986 29.94151, -90.08133594535053 29.939568945820525, -90.081504 29.939709999999998, -90.082028 29.940210999999998, -90.08254199999999 29.940683999999997, -90.082719 29.940838, -90.08290799999999 29.941049, -90.08342499999999 29.941523999999998, -90.083568 29.941623999999997, -90.08444999999999 29.942383999999997, -90.085111 29.942992, -90.085785 29.943606, -90.08645 29.944205, -90.087115 29.944786999999998, -90.087806 29.945414, -90.08819199999999 29.945759, -90.08836699999999 29.9459, -90.088505 29.945995, -90.088359 29.946189))"
22,071,014000,22071014000,140,Census Tract 140,G5020,S,565101,0,+29.9446690,-090.0831021,LA,11199,New Orleans,LA,True,Industrial,,Industrial,False,False,True,#000000,"POLYGON ((-90.085978 29.949405, -90.085771 29.949699, -90.085698 29.949796, -90.08563199999999 29.949893, -90.08547899999999 29.950080999999997, -90.085189 29.950426999999998, -90.085128 29.950312, -90.085093 29.950243999999998, -90.08503999999999 29.950114, -90.08487099999999 29.949766999999998, -90.084752 29.949521999999998, -90.08462899999999 29.949315, -90.084327 29.948845, -90.08425299999999 29.948739, -90.084075 29.948574999999998, -90.083562 29.948154, -90.083101 29.947809999999997, -90.082787 29.947578999999998, -90.082599 29.947464, -90.0823143660782 29.94724888063335, -90.08604914448772 29.949311721671652, -90.085978 29.949405))"
22,071,014000,22071014000,140,Census Tract 140,G5020,S,565101,0,+29.9446690,-090.0831021,LA,11200,New Orleans,LA,True,Commercial,,Commercial,False,True,False,#000000,"POLYGON ((-90.079295 29.941103, -90.079764 29.940451999999997, -90.080283 29.939766, -90.080782 29.939104, -90.08133484206292 29.93956801979242, -90.08096 29.94006, -90.07986 29.94151, -90.07923517075484 29.941185333823597, -90.079295 29.941103))"
22,071,007101,22071007101,71.01,Census Tract 71.01,G5020,S,687212,0,+29.9656434,-090.1007457,LA,3017,New Orleans,LA,True,Definitely Declining,C,C11,True,False,False,#ffff00,"POLYGON ((-90.109616 29.972378, -90.10869 29.971763, -90.108267 29.971487999999997, -90.107766 29.971162, -90.10681799999999 29.970513999999998, -90.105766 29.96979, -90.10565199999999 29.969703, -90.104061 29.968666, -90.10311 29.968003, -90.102173 29.967373, -90.101478 29.968199, -90.10061999999999 29.967644999999997, -90.099814 29.967067999999998, -90.098952 29.966524999999997, -90.098143 29.965923, -90.097718 29.965664, -90.097482 29.965895, -90.096944 29.96642, -90.095987 29.965805999999997, -90.095081 29.965189, -90.094453 29.964764, -90.093633 29.964181999999997, -90.092795 29.963604, -90.091939 29.963043, -90.09179499999999 29.962958999999998, -90.091669 29.962873, -90.09132799999999 29.962636, -90.09053 29.962075, -90.090368 29.961983, -90.0904421255826 29.96189329730222, -90.09134 29.9623, -90.10223 29.96735, -90.10964478927113 29.972342790100065, -90.109616 29.972378))"
22,071,007101,22071007101,71.01,Census Tract 71.01,G5020,S,687212,0,+29.9656434,-090.1007457,LA,3023,New Orleans,LA,True,Hazardous,D,D5,True,False,False,#d9838d,"POLYGON ((-90.09050599999999 29.961816, -90.090581 29.961727, -90.09079299999999 29.96181, -90.09167099999999 29.962207, -90.09240899999999 29.962539999999997, -90.093336 29.961475999999998, -90.094274 29.961921999999998, -90.09530699999999 29.960818999999997, -90.096228 29.961256, -90.097175 29.961700999999998, -90.09786799999999 29.962038999999997, -90.09893699999999 29.962467999999998, -90.10028799999999 29.963072999999998, -90.10032455967998 29.963036112430505, -90.10066 29.96319, -90.09968 29.96435, -90.10553 29.96705, -90.1044 29.96818, -90.10223 29.96735, -90.09134 29.9623, -90.0904421255826 29.96189329730222, -90.09050599999999 29.961816))"
